Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],Location
1066,NEL-Lhyfe Agreement,FRA,2027.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,,,,,,,1.0,,,,,,,,,60MW,,,,0.0,
1069,HYBAYERN,DEU,2024.0,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,1.18t H2/d - 5MW,5.0,962.0,0.7,962.0,Random location in Germany
1071,Norddeutsches Reallabor - Living Lab Northern Germany,DEU,2026.0,,Feasibility study,PEM,,Dedicated renewable,Unknown,H2,1.0,1.0,,,1.0,1.0,,,,,,,,,10t H2/d production,48.689,9363.0,7.3,9363.0,Aproximate location from project webpage
1076,Pertamina Ulubelu geothermal plant,IDN,2025.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,1.0,,,,,,,,,,1.0,,,,100 kg H2/d - 0.5MW,0.5,111.0,0.1,111.0,Ulubelu geothermal plant
1077,P2X Harjavalta project,FIN,2025.0,,Operational,ALK,,Dedicated renewable,Unknown,CH4,,,,,1.0,,,,,,,,1.0,,20MW,20.0,4348.0,3.4,4348.0,Harjavalta Industrial Park
1080,Djeva,CHE,2010.0,,Operational,ALK,,Other/Unknown,,H2,,,,,1.0,,,,,,,,,,7MW or 600 t H2/y,7.0,1521.73913,1.2,1522.0,Monthey
1081,Sapio - Mantova,ITA,2016.0,,Operational,NG w CCUS,SMR+CCUS,,,H2,,,,,,,,,,,,,,,1500 Nm3 H2/h,,1500.0,1.2,0.0,Mantova
1082,Woikoski Kokkola H2 plant,FIN,2014.0,,Operational,ALK,,Other/unknown,,H2,,,,,,,,,,,,,,,9MW,9.0,1957.0,1.5,1957.0,Kokkola
1083,HyEnergy Zero Carbon Hydrogen,AUS,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,12000MW,12000.0,2666667.0,2079.0,2666667.0,"Carnarvon, Western Australia"
1085,HNH,CHL,2029.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,Ammonia,,1.0,,,,,,,,,,,,,1.3 GW,1300.0,288889.0,225.2,288889.0,Random location in Magallanes
1086,Rostock - RWE - (HyTechHafen-Rostock),DEU,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,1.0,,,,,,,,,,,,,100MW,100.0,22222.0,17.3,22222.0,Port of Rostock
1090,"BP Castellon refinery, phase 1 (HyVal)",ESP,2026.0,,FID/Construction,PEM,,Grid+Renewables,Others/Various,H2,1.0,,,,,,,,,,,,,,25 MW,25.0,4808.0,3.7,4808.0,BP oil refinery Castellon
1091,SmartQuart project - Kaisersesch ,DEU,2025.0,,FID/Construction,PEM,,Other/Unknown,,H2,,,,,,,,,,,,,,,1MW,1.0,192.0,0.1,192.0,Kaisersesch
1096,Donghae 1 offshore wind plant,KOR,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,100MW,100.0,22222.0,17.3,22222.0,Ulsan
1100,BayoTech - St Louis Hub,USA,2023.0,,Operational,NG w CCUS,Unknown technology,,,H2,,,,,,,,,,,,,,,350t H2/y,,449.0,0.4,0.0,"St Louis, Missouri"
1108,Roadrunner,USA,2027.0,,FID/Construction,PEM,,Dedicated renewable,Solar PV,Synfuels,,,,,,,,,,,,1.0,,,14 kt synfuels/y capacity - 100MW,100.0,19231.0,15.0,19231.0,"Reeves County, TX"
1109,"Green Energy Oman (GEO), phase 1 (former Oman-Al Wusta green H2 project)",OMN,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Ammonia,,,,,,,,,,,,,,,150 kt H2/y production,1731.6,384793.0,300.0,384793.0,Al Wusta
1110,Plug Power - Fort Worth,USA,2028.0,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,120MW,120.0,23077.0,18.0,23077.0,"Fort Worth, Texas"
1114,Energiepark Eemshaven West (phase I),NLD,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,10MW,10.0,2222.0,1.7,2222.0,Port of Eems
1115,Energiepark Eemshaven West (phase II),NLD,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,100MW,100.0,22222.0,17.3,22222.0,Port of Eems
1116,ELYgator,NLD,2027.0,,FID/Construction,Other Electrolysis,PEM+ALK,Dedicated renewable,Offshore wind,H2,1.0,,,,1.0,1.0,,,,,,,,,200MW,200.0,44444.0,34.7,44444.0,Maasvlakte
1119,FUREC,NLD,2027.0,,Feasibility study,Biomass,,,,H2,,,,,,,,,,,,,,,54 kt H2/y,,69263.0,54.0,69263.0,Chemelot
1120,BrigH2,NLD,2027.0,,Feasibility study,Biomass,,,,H2,,,,,,,,,,,,,,,50MW H2,,16854.0,13.1,16854.0,
1121,Hydrogen Wind Turbine in Wieringerwerf,NLD,2025.0,,FID/Construction,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,5 MW,5.0,962.0,0.7,962.0,Wieringermeer
1122,H2-gateway,NLD,2030.0,,Feasibility study,NG w CCUS,Unknown Technology,,,H2,,,,,,,,,,,,,,,0.2Mt H2/y - 1.8 Mt CO2,,257.0,0.2,225678.0,
1123,Sinopec Star Corp Ordos Green Power-to-Gas Demonstration (or: Uxin Banner Wind-Solar Integrated Green Hydrogen Petrochemical Refinery Demo) Phase 1,CHN,2026.0,,FID/Construction,ALK,,Dedicated renewable,Others/Various,H2,,,,,1.0,,,,,,,,,,10kt H2/y capacity,59.0,12826.0,10.0,12826.0,Ordos
